Course ID,CRN,Department,Course Title,Cr Hr,Typ,Days,From-Time,To-Time,Start-Date To End-Date,Bldg,Room,Max_Enr,PoT,Instructor_1,Instructor_2,Instructor_3,Instructor_4,Comment,,,,,,,
COMP-3505-502,10605,MATHEMATICS & COMPUTING,Laboratory,0,LAB,R,1530pm,1620pm,06-JAN-21 To 24-APR-21,LP,B215,20,1,Amannejad Y,,,,,,,,,,,
COMP-3512-001,10606,MATHEMATICS & COMPUTING,Web II: Web Application & Dev,3,LEC,W F,1600pm,1720pm,06-JAN-21 To 24-APR-21,LP,T137,40,1,Connolly R,,,,Lecture 001 take tutorial 401 or 402.  Prerequisite checking is in effect for this course.  Refer to the current MRU http://www.mtroyal.ca/ProgramsCourses/CourseListings/index.htm for details.,,,,,,,
COMP-3512-401,10607,MATHEMATICS & COMPUTING,Tutorial,0,TUT,M,1330pm,1420pm,06-JAN-21 To 24-APR-21,LP,B215,20,1,Connolly R,,,,,,,,,,,
COMP-3512-402,10608,MATHEMATICS & COMPUTING,Tutorial,0,TUT,M,1430pm,1520pm,06-JAN-21 To 24-APR-21,LP,B215,20,1,Connolly R,,,,,,,,,,,
COMP-3532-001,10609,MATHEMATICS & COMPUTING,System Admin an Maintenance,3,LEC,M W,1130am,1250pm,06-JAN-21 To 24-APR-21,EA,EA1024,40,1,TBA,,,,Lecture 001 take lab 501 or 502.  Prerequisite checking is in effect for this course.  Refer to the current MRU http://www.mtroyal.ca/ProgramsCourses/CourseListings/index.htm for details.,,,,,,,
COMP-3532-501,10610,MATHEMATICS & COMPUTING,Laboratory,0,LAB,M,1030am,1120am,06-JAN-21 To 24-APR-21,LP,B215,20,1,TBA,,,,,,,,,,,
COMP-3532-502,10611,MATHEMATICS & COMPUTING,Laboratory,0,LAB,M,0930am,1020am,06-JAN-21 To 24-APR-21,LP,B215,20,1,TBA,,,,,,,,,,,
COMP-3533-001,10612,MATHEMATICS & COMPUTING,Network Infrastructure,3,LEC,M W,1130am,1250pm,06-JAN-21 To 24-APR-21,EA,EA2031,32,1,Gong M,,,,Lecture 001 take lab 501 or 502.  Prerequisite checking is in effect for this course.  Refer to the current MRU http://www.mtroyal.ca/ProgramsCourses/CourseListings/index.htm for details.,,,,,,,
COMP-3533-501,10613,MATHEMATICS & COMPUTING,Laboratory,0,LAB,T,0900am,0950am,06-JAN-21 To 24-APR-21,LP,B160,16,1,Gong M,,,,,,,,,,,
COMP-3533-502,10614,MATHEMATICS & COMPUTING,Laboratory,0,LAB,T,1130am,1220pm,06-JAN-21 To 24-APR-21,LP,B215,16,1,Gong M,,,,,,,,,,,
COMP-3553-001,10615,MATHEMATICS & COMPUTING,Human-Computer Interaction,3,LEC,W F,0830am,0950am,06-JAN-21 To 24-APR-21,LP,T235,40,1,Khemka-Dolan N,,,,Lecture 001 take tutorial 401 or 402.  Prerequisite checking is in effect for this course.  Refer to the current MRU http://www.mtroyal.ca/ProgramsCourses/CourseListings/index.htm for details.,,,,,,,
COMP-3553-401,10616,MATHEMATICS & COMPUTING,Tutorial,0,TUT,M,1330pm,1420pm,06-JAN-21 To 24-APR-21,LP,E203,20,1,Khemka-Dolan N,,,,,,,,,,,
COMP-3553-402,10617,MATHEMATICS & COMPUTING,Tutorial,0,TUT,M,1430pm,1520pm,06-JAN-21 To 24-APR-21,LP,E203,20,1,Khemka-Dolan N,,,,,,,,,,,
COMP-3591-001,10618,MATHEMATICS & COMPUTING,Mandatory Work Experience,0,WKT,TBA,TBA,TBA,06-JAN-21 To 24-APR-21,TBA,TBA,10,1,TBA,,,,RESTRICTION: Bachelor of Computer Information Systems | Prerequisite checking is in effect for this course.  Refer to the current MRU http://www.mtroyal.ca/ProgramsCourses/CourseListings/index.htm for details.,,,,,,,
